"ID","Description","RootCause","Fix","AntiPattern","Phase","DateFixed"
"BUG-001","Initial .bas files had LF-only line endings instead of CRLF","Write tool on Windows/bash outputs LF by default; VBA module import requires CRLF","Added sed pass to convert all .bas files to CRLF after writing","AP-06 (adjacent: file encoding)","Phase 1","2026-03-20"
"BUG-002","Config sheet column indices used hardcoded numbers (1-9) instead of named constants","Build prompt did not define constants for config-sheet layout columns; coder used numeric literals","Added CREG_COL_*, ISCH_COL_*, GCFG_COL_*, TREG_COL_* constants to KernelConstants.bas and updated all readers","AP-08","Phase 1","2026-03-20"
"BUG-003","Summary tab used magic number 2 for metric column and 2+prd for data columns","Summary layout positions not defined as constants in original KernelConstants","Added SUMMARY_COL_ENTITY, SUMMARY_COL_METRIC, SUMMARY_DATA_START_COL constants; updated KernelOutput.bas","AP-08","Phase 1","2026-03-20"
"BUG-004","Setup.ps1 hung indefinitely at BootstrapWorkbook macro call","Zombie Excel.exe process from prior failed run held COM lock; hidden Excel ($excel.Visible=$false) made error dialogs invisible","1) Added zombie Excel process cleanup at script start. 2) Changed Excel to Visible=$true during bootstrap so dialogs are not hidden. 3) Hide Excel again after success.","AP-48","Phase 1","2026-03-20"
"BUG-005","GenerateInputsTab crashed with Error 1004 writing section header '=== ATTRIBUTES ==='","String starting with '=' written via .Value caused Excel to interpret it as a formula. Existing AP-07 guard in WriteCsvLineToRow did not cover GenerateInputsTab which wrote headers directly.","Added NumberFormat=""@"" (text format) before writing section header strings starting with '==='. Same pattern already used in LoadCsvToConfigSheet for marker rows.","AP-07","Phase 1","2026-03-20"
"BUG-006","Bootstrap crash with blank config: Subscript out of range (Error 9) at GenerateInputsTab >> GetSheet","CreateTabsFromRegistry relied entirely on tab_registry.csv data rows to create tabs. Blank config has headers only, so no tabs were created. GenerateInputsTab then failed accessing nonexistent Inputs sheet.","1) Added EnsureSheet calls for all required kernel tabs (Inputs, ScenarioMgr, Detail, Summary, ErrorLog) at end of CreateTabsFromRegistry. 2) Added early-exit in SetupDetailHeaders when GetColumnCount()=0.","AP-51","Phase 1 Validation","2026-03-20"
"BUG-007","ResumeFrom call from Immediate Window threw Error 424: Object required","VBA Immediate Window executes in the context of the active VBA project. When PERSONAL.XLSB project was active, KernelEngine.ResumeFrom was not found in that project.","Changed walkthrough to use Application.Run ""RDK_Model.xlsm!KernelEngine.ResumeFrom"" syntax which explicitly targets the correct workbook regardless of active project.","AP-52","Phase 1 Validation","2026-03-20"
"BUG-008","RunProjections validation failure produced no visible feedback","Domain validation caught Units=0 and logged to ErrorLog, but no MsgBox or popup appeared. User had no indication anything happened.","Added MsgBox calls to RunProjections for validation failure, success, and unhandled errors. Users now get visible feedback in all outcomes.","AP-19 (updated)","Phase 1 Validation","2026-03-20"
"BUG-009","RunProjections macro missing after Setup (VBA import silently failed)","KernelEngine.bas lines 64 and 164 contained Unicode em-dash characters. VBA import silently fails on non-ASCII bytes, preventing entire project from compiling.","Replaced em-dash characters with ASCII double-dash (--) on both lines.","AP-06","Phase 2","2026-03-20"
"BUG-010","RunProjections not visible in Alt+F8 macro dialog","VBA Optional parameters (even with defaults) hide macros from the Alt+F8 dialog. RunProjections had Optional seed As Long = -1.","Added parameterless RunProjections() wrapper that delegates to RunProjectionsEx(Optional seed).","(new pattern)","Phase 2 Validation","2026-03-22"
