"CodeRange","Module","Severity","Description"
"E-100..E-199","KernelConfig","FATAL/ERROR","Config loading failures (missing sections, invalid data)"
"E-200..E-299","KernelEngine","FATAL/ERROR","Pipeline failures (validation, computation, write)"
"E-210","KernelEngine","ERROR","Domain validation tests failed"
"E-300..E-399","DomainEngine","FATAL/ERROR","Domain-specific validation errors (reserved for domain modules)"
"E-500..E-599","KernelBootstrap","FATAL/ERROR","Bootstrap failures (tab creation, config loading)"
"E-600..E-699","KernelCsvIO","ERROR","CSV read/write errors"
"E-700..E-799","KernelTests","ERROR","Test framework errors"
"E-800..E-899","KernelFormula/Writer","ERROR","Formula tab creation and named range errors"
"E-810..E-819","KernelFormula","ERROR","Named range creation errors"
"E-850..E-899","KernelSnapshot","ERROR","Snapshot save/load errors"
"W-100..W-199","KernelConfig","WARN","Config warnings (fallback mode, missing optional sections)"
"W-800..W-839","KernelFormula/Writer","WARN","Formula tab warnings (skipped rows, tab not found)"
"W-850..W-899","KernelSnapshot","WARN","Snapshot warnings (hash mismatch, missing files, forensic mode)"
"I-100..I-199","KernelConfig","INFO","Config loading progress"
"I-200..I-299","KernelEngine","INFO","Pipeline progress and completion"
"I-500..I-599","KernelBootstrap","INFO","Bootstrap progress"
"I-700..I-799","KernelTests","INFO","Test progress and results"
"I-800..I-899","KernelFormula/Writer/Snapshot","INFO","Formula tab and snapshot progress"
