"ID","Name","Category","Description","ExampleModule"
"PT-001","Array batch write","Performance","Build a 2D Variant array in memory, then write to Excel in a single Range.Value = arr assignment. Never write cell-by-cell in loops.","KernelOutput.WriteDetailTab"
"PT-002","Atomic file write","Reliability","Write to a .tmp file first, verify integrity (row count, checksums), then delete old target and rename .tmp to final path. On failure, keep .tmp for debugging.","KernelCsvIO.WriteCSV"
"PT-003","Config-driven column lookup","Architecture","All column indices resolved at runtime via ColIndex(metricName). No magic numbers. ColumnRegistry CSV is the single source of truth for column positions.","KernelConfig.ColIndex"
"PT-004","Section-marker config loading","Architecture","Config sheet uses section markers (=== SECTION_NAME ===) followed by CSV headers and data. Loader scans for markers and parses each section independently.","KernelBootstrap.LoadCsvToConfigSheet"
"PT-005","Quoted CSV field parser","IO","Handle double-quoted fields with embedded commas, escaped quotes (doubled), and newlines. Unquoted fields delimited by commas. Numeric fields not quoted on write.","KernelBootstrap.ParseCsvLine"
"PT-006","Domain contract pattern","Architecture","Every Domain*.bas implements 4 public functions: Initialize (setup), Validate (pre-run gate), Reset (clear state), Execute (compute). Kernel calls these in fixed order.","SampleDomainEngine"
"PT-007","DerivationRule auto-compute","Architecture","Kernel parses ColumnRegistry DerivationRule field (e.g. A - B, A / B) and computes derived columns automatically. Domain code never touches derived fields.","KernelEngine.ComputeDerivedFields"
"PT-008","SUMIFS for incremental, cell-refs for derived","Output","Summary tab uses SUMIFS formulas for Incremental fields and cell-reference arithmetic for Derived fields. Never sum ratios or percentages directly.","KernelOutput.WriteSummaryFormulas"
"PT-009","ColLetter helper","Output","Convert 1-based column number to Excel column letter string (1=A, 26=Z, 27=AA). Used for building SUMIFS formula strings at runtime.","KernelOutput.ColLetter"
"PT-010","Structured error logging","Observability","All errors logged to ErrorLog sheet with: Timestamp, Severity (FATAL/ERROR/WARN/INFO), Source module, Error code, Message, Detail. Never swallow errors silently.","KernelConfig.LogError"
"PT-011","Zombie process cleanup","Reliability","Before COM automation, check for existing processes of the target application and kill them with user confirmation. Prevents hung scripts from prior failed runs blocking new runs.","Setup.bat (taskkill guard)"
"PT-012","Sub-step diagnostic tracking","Debugging","Use a module-level m_subStep variable updated at each operation within a complex Sub. Error handler includes m_subStep in the diagnostic message written to Sheet1!A1, enabling precise failure location via COM read-back.","KernelBootstrap.GenerateInputsTab"
"PT-013","Config fallback mode","Reliability","If runtime arrays fail to load, set a fallback flag and have every getter read directly from the Config sheet. The Config sheet is always available as long as bootstrap completed. This ensures no pipeline step is blocked by in-memory state failure (AP-45).","KernelConfig.ColIndex (fallback path)"
"PT-014","Pipeline step markers","Observability","Write step name, status (COMPLETE/FAILED/SKIPPED/BYPASSED), and timestamp to a PIPELINE_STATE section on the Config sheet after each pipeline step completes or fails. Enables ResumeFrom to validate prior artifacts and skip completed steps.","KernelEngine.WriteStepMarker"
"PT-015","Manual bypass instructions in errors","Usability","Every LogError call at SEV_ERROR or SEV_FATAL includes a MANUAL BYPASS detail string: what artifact to create/fix manually, and which step to resume from. Users can recover from any failure without developer intervention (AP-46).","KernelEngine.RunProjections ErrHandler"
"PT-016","File-lock check before overwrite","Reliability","Before overwriting a workbook via COM automation, test if the file is locked by opening with exclusive access. If locked, exit with a clear message naming the specific file to close. Do not kill processes.","Bootstrap.ps1 (file lock test)"
