"TabName","Type","Category","Protected","Visible","SortOrder","Description","QuarterlyColumns","QuarterlyHorizon","GrandTotal","TabColor","SkipAnnual","HasTailColumn","InputSurface"
"Cover Page","Kernel","Input","N","Visible","0","Model cover page with title, version, and table of contents","FALSE","","FALSE","000000","FALSE","FALSE","TAB_IS_INPUT"
"Dashboard","Kernel","Input","N","Visible","1","Model dashboard and action buttons","FALSE","","FALSE","1F3864","FALSE","FALSE","TAB_IS_INPUT"
"Assumptions","Kernel","Input","N","Visible","2","Global financial model parameters","FALSE","","FALSE","4472C4","FALSE","FALSE","TAB_IS_INPUT"
"UW Inputs","Domain","Input","N","Visible","3","Underwriting program assumptions","FALSE","","FALSE","4472C4","FALSE","FALSE","TAB_IS_INPUT"
"Sales Funnel","Domain","Input","N","Visible","4","Pipeline planning: universe, cohort conversion, expected GWP","TRUE","Writing","FALSE","4472C4","FALSE","FALSE","TAB_IS_INPUT"
"UW Exec Summary","Domain","Output","N","Visible","5","Portfolio UW P&L waterfall","TRUE","Writing","TRUE","548235","FALSE","TRUE","NONE"
"UW Program Detail","Domain","Output","N","Visible","6","Per-program UW waterfall (Gross/Ceded/Net)","TRUE","Writing","TRUE","548235","FALSE","TRUE","NONE"
"Capital Activity","Domain","Input","N","Visible","7","Equity raises, surplus notes, other debt","TRUE","Writing","FALSE","9DC3E6","FALSE","FALSE","TAB_IS_INPUT"
"Revenue Summary","Domain","Output","N","Visible","8","Consolidated revenue waterfall","TRUE","Writing","TRUE","2E75B6","FALSE","FALSE","NONE"
"Investments","Domain","Input","N","Visible","9","Investment portfolio allocation and income","TRUE","Writing","FALSE","9DC3E6","FALSE","FALSE","TAB_IS_INPUT"
"Other Revenue Detail","Domain","Input","N","Visible","10","Software, fee, and consulting revenue detail","TRUE","Writing","TRUE","9DC3E6","FALSE","FALSE","TAB_IS_INPUT"
"Expense Summary","Domain","Output","N","Visible","11","Consolidated expense waterfall","TRUE","Writing","TRUE","2E75B6","FALSE","FALSE","NONE"
"Staffing Expense","Domain","Input","N","Visible","12","Headcount and loaded cost by department","TRUE","Writing","TRUE","9DC3E6","FALSE","FALSE","TAB_IS_INPUT"
"Other Expense Detail","Domain","Input","N","Visible","13","Non-staffing operating expenses by category","TRUE","Writing","TRUE","9DC3E6","FALSE","FALSE","TAB_IS_INPUT"
"Income Statement","Domain","Output","N","Visible","14","Tier 1 income statement with key ratios","TRUE","Writing","TRUE","BF8F00","FALSE","FALSE","NONE"
"Balance Sheet","Domain","Output","N","Visible","15","EOP balance sheet with balance check","TRUE","Writing","FALSE","BF8F00","TRUE","FALSE","NONE"
"RBC Capital Model","Domain","Output","N","Visible","15.5","P&C Risk-Based Capital model with ratio trajectory","TRUE","Writing","FALSE","BF8F00","TRUE","FALSE","PRESERVED_CELLS"
"Cash Flow Statement","Domain","Output","N","Visible","16","Indirect method cash flow statement","TRUE","Writing","TRUE","BF8F00","FALSE","FALSE","NONE"
"Assumptions Register","Kernel","Output","N","Visible","17","Documented model assumptions with rationale and sensitivity","FALSE","","FALSE","548235","FALSE","FALSE","NONE"
"User Guide","Kernel","Input","N","Visible","0.5","How to use this model","FALSE","","FALSE","000000","FALSE","FALSE","TAB_IS_INPUT"
"Detail","Kernel","Output","Y","Hidden","17","Raw computation output (Incremental values)","FALSE","","FALSE","","FALSE","FALSE","NONE"
"Curve Reference","Domain","Input","N","Visible","18","Development curve shapes by trend level","FALSE","","FALSE","C0504D","FALSE","FALSE","TAB_IS_INPUT"
"Loss Triangles","Domain","Output","N","Visible","19","Paid and Case Incurred development triangles by program","FALSE","","FALSE","C0504D","FALSE","FALSE","NONE"
"Count Triangles","Domain","Output","N","Visible","20","Reported and Closed Count development triangles by program","FALSE","","FALSE","C0504D","FALSE","FALSE","NONE"
"Run Metadata","Kernel","System","Y","Hidden","49","Committed input state from last Run Model","FALSE","","FALSE","","FALSE","FALSE","NONE"
"Config","Kernel","System","Y","Hidden","50","Configuration tables (loaded from CSV)","FALSE","","FALSE","","FALSE","FALSE","NONE"
"Prove It","Kernel","Audit","Y","Hidden","52","Native Excel verification formulas","FALSE","","FALSE","","FALSE","FALSE","NONE"
"Quarterly Summary","Kernel","Output","N","Hidden","57","Quarterly aggregation of monthly Detail for FM bridge","TRUE","Data","FALSE","","FALSE","FALSE","NONE"
"Error Log","Kernel","System","N","Hidden","80","Error and event log","FALSE","","FALSE","","FALSE","FALSE","NONE"
"Test Results","Kernel","System","N","Hidden","81","Test runner output (Phase 3+)","FALSE","","FALSE","","FALSE","FALSE","NONE"
"Exhibit 1","Domain","Output","N","Visible","1.1","Exhibit 1 -- executive summary view","FALSE","","FALSE","C0504D","FALSE","FALSE","NONE"
"Exhibit 2","Domain","Output","N","Visible","1.2","Exhibit 2 -- executive summary view","FALSE","","FALSE","C0504D","FALSE","FALSE","NONE"
"Exhibit 3","Domain","Output","N","Visible","1.3","Exhibit 3 -- executive summary view","FALSE","","FALSE","C0504D","FALSE","FALSE","NONE"
"Exhibit 4","Domain","Output","N","Visible","1.4","Exhibit 4 -- executive summary view","FALSE","","FALSE","C0504D","FALSE","FALSE","NONE"
